title,price,reviews,rating,company,customerreviews,link
Diverse Men's Formal Shirt,409.0,75,4.1,,4.1 out of 5 stars,https://www.amazon.in/Diverse-Mens-Formal-Shirt-8903905012050_DVF01F2L01-127_40_Black/dp/B074C7BRXL/ref=sr_1_43?keywords=Shirts&qid=1559924489&s=gateway&sr=8-43
Dennis Lingo Men's Solid Casual Full Sleeves Black Cotton Shirt,549.0,525,3.7,Dennis Lingo,3.7 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Plain-Casual-C201_Black_Large/dp/B0158FJZ4I/ref=sr_1_32?keywords=Shirts&qid=1559924489&s=gateway&sr=8-32
Seven Rocks Regular Fit Men's Cotton T-Shirt (T16),549.0,716,3.9,Seven Rocks,3.9 out of 5 stars,https://www.amazon.in/Seven-Rocks-Cotton-T-Shirt-Blue_Large/dp/B07B8PCNYM/ref=sr_1_16?keywords=Shirts&qid=1559924489&s=gateway&sr=8-16
IndoPrimo Men's Cotton Casual Shirt for Men Full Sleeves,,49,3.6,IndoPrimo,3.6 out of 5 stars,https://www.amazon.in/IndoPrimo-Cotton-Casual-Shirt-Sleeves/dp/B07H1HFLFK/ref=sr_1_27?keywords=Shirts&qid=1559924489&s=gateway&sr=8-27
Black Collection Men's Cotton T-Shirt (Bcsa0002),478.0,246,3.6,Black Collection,3.6 out of 5 stars,https://www.amazon.in/Black-Collection-Plain-T-Shirt-BCSA0002_White_M/dp/B01EJWF46O/ref=sr_1_51?keywords=Shirts&qid=1559924489&s=gateway&sr=8-51
LionRoar Men's Polka Print Full Sleeves Formal Shirt,695.0,24,4.0,Lion,4.0 out of 5 stars,https://www.amazon.in/Lion-LionRoar-Cotton-Sleeves-Formal/dp/B07MY5ZT1S/ref=sr_1_30?keywords=Shirts&qid=1559924489&s=gateway&sr=8-30
Dennis Lingo Men's Checkered Teal Blue Slim Fit Casual Shirt,649.0,74,3.8,Dennis Lingo,3.8 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Checkered-Casual-C413_TEALBLUE_L_Teal/dp/B07D9TH86Y/ref=sr_1_34?keywords=Shirts&qid=1559924489&s=gateway&sr=8-34
Diverse Men's Checkered Regular Fit Cotton Formal Shirt,349.0,212,3.7,,3.7 out of 5 stars,https://www.amazon.in/Diverse-Checkered-Regular-Cotton-DVF07F1L01-209-46_Red/dp/B0756FY19X/ref=sr_1_29?keywords=Shirts&qid=1559924489&s=gateway&sr=8-29
Park Avenue Men's Checkered Slim Fit Formal Shirt,1049.0,2,4.5,,4.5 out of 5 stars,https://www.amazon.in/dp/B07FK2PYTY?aaxitk=1Rlle2cR5GpzoMovza.LBg&pd_rd_i=B07FK2PYTY&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=7280274540102&sb-ci-n=price&sb-ci-v=1%2C094.00&sb-ci-m=%E2%82%B9
EYEBOGLER Regular Fit Men's Cotton T-Shirt (T1),382.0,1100,3.8,EYEBOGLER,3.8 out of 5 stars,https://www.amazon.in/Seven-Rocks-Regular-NM_Navy-Melange_Large/dp/B01N9QZ0TR/ref=sr_1_39?keywords=Shirts&qid=1559924489&s=gateway&sr=8-39
Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3),499.0,705,4.0,,4.0 out of 5 stars,https://www.amazon.in/Chromozome-Regular-T-Shirt-OS-10_White-Grey_L/dp/B07CQMYL95/ref=sr_1_48?keywords=Shirts&qid=1559924489&s=gateway&sr=8-48
Dennis Lingo Men's Cotton Checkered Casual Shirt,649.0,492,4.0,Dennis Lingo,4.0 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Checkered-Casual-C403_RED_XXL_Red_XXL/dp/B078ZRLTKQ/ref=sr_1_14?keywords=Shirts&qid=1559924489&s=gateway&sr=8-14
ACCOX Half Sleeves Formal Regular Fit Cotton Check Shirt for Men,,81,3.6,ACCOX,3.6 out of 5 stars,https://www.amazon.in/ACCOX-Formal-Shirt-GO161_HS_46-Multi-Color/dp/B07FQNTTDN/ref=sr_1_42?keywords=Shirts&qid=1559924489&s=gateway&sr=8-42
Dennis Lingo Men's Cotton Casual Full Sleeves Slim fit White Shirt,549.0,265,3.9,Dennis Lingo,3.9 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Plain-Casual-C201_White_Medium/dp/B0158FL3J8/ref=sr_1_46?keywords=Shirts&qid=1559924489&s=gateway&sr=8-46
Dennis Lingo Men's Solid Chinese Collar Brown Casual Shirt,549.0,80,4.0,Dennis Lingo,4.0 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Solid-Casual-CC201_Brown_M_Brown_M/dp/B07D9VFKR5/ref=sr_1_54?keywords=Shirts&qid=1559924489&s=gateway&sr=8-54
Diverse Men's Solid Formal Shirt,399.0,171,4.1,,4.1 out of 5 stars,https://www.amazon.in/Diverse-Mens-Formal-Shirt-8903905008541_DVF01F2L01-28_46_White/dp/B074C6QVGT/ref=sr_1_18?keywords=Shirts&qid=1559924489&s=gateway&sr=8-18
PAUSE Men's Solid Cotton Long Sleeve Round Neck Shrug,,42,3.3,PAUSE,3.3 out of 5 stars,https://www.amazon.in/PAUSE-Cotton-Sleeve-Regular-Fit-PASRG03181189-BLK-M/dp/B07BN4VVD8/ref=sr_1_5?keywords=Shirts&qid=1559924489&s=gateway&sr=8-5
Park Avenue Men's Plain Regular Fit Formal Shirt,1115.0,1,4.0,,4.0 out of 5 stars,https://www.amazon.in/dp/B07GQ8BWTB?aaxitk=1Rlle2cR5GpzoMovza.LBg&pd_rd_i=B07GQ8BWTB&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=7280274540102&sb-ci-n=primeLogo&sb-ci-a=B07GQ8BWTB
Diverse Men's Solid Formal Shirt,399.0,171,4.1,,4.1 out of 5 stars,https://www.amazon.in/Diverse-Mens-Formal-Shirt-8903905008541_DVF01F2L01-28_46_White/dp/B074C6QVGT/ref=sr_1_18?keywords=Shirts&qid=1559924489&s=gateway&sr=8-18
Dennis Lingo Men's Solid Chinese Collar Tblue Casual Shirt,549.0,202,3.8,Dennis Lingo,3.8 out of 5 stars,https://www.amazon.in/Dennis-Lingo-Plain-Casual-CC201_Tblue_Medium/dp/B01N6ODMDG/ref=sr_1_20?keywords=Shirts&qid=1559924489&s=gateway&sr=8-20
Park Avenue Men's Checkered Slim Fit Formal Shirt,1049.0,2,4.5,,4.5 out of 5 stars,https://www.amazon.in/dp/B07FK2PYTY?aaxitk=1Rlle2cR5GpzoMovza.LBg&pd_rd_i=B07FK2PYTY&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=7280274540102&sb-ci-n=asinImage&sb-ci-v=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F81AL2KHb0VL.jpg&sb-ci-a=B07FK2PYTY
GRITSTONES Men's Full Sleeves Shirt,377.0,255,3.8,GRITSTONES,3.8 out of 5 stars,https://www.amazon.in/GRITSTONES-Mens-Sleeves-Shirt-Black_Small/dp/B06Y2GFDW1/ref=sr_1_55?keywords=Shirts&qid=1559924489&s=gateway&sr=8-55
Global Rang Men's Cotton Shirt,699.0,164,3.6,Global Rang,3.6 out of 5 stars,https://www.amazon.in/Global-Rang-Cotton-Checks-blue-orange_/dp/B077YJJZ8X/ref=sr_1_53?keywords=Shirts&qid=1559924489&s=gateway&sr=8-53
Park Avenue Men's Plain Regular Fit Formal Shirt,1115.0,1,4.0,,4.0 out of 5 stars,https://www.amazon.in/dp/B07GQ8BWTB?aaxitk=1Rlle2cR5GpzoMovza.LBg&pd_rd_i=B07GQ8BWTB&pf_rd_p=ddc78b0d-0a78-403f-9399-68105b975bab&hsa_cr_id=7280274540102&sb-ci-n=asinImage&sb-ci-v=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F81SkX%2Bg95HL.jpg&sb-ci-a=B07GQ8BWTB
